,Make
0,Acura
1,Alfa Romeo
2,Aston Martin
3,Audi
4,Bentley
5,BMW
6,Buick
7,Cadillac
8,Chevrolet
9,Chrysler
10,CODA
11,Daihatsu
12,Dodge
13,Ferrari
14,FIAT
15,Fisker
16,Ford
17,Genesis
18,GMC
19,Harley-Davidson
20,Honda
21,Hyundai
22,INFINITI
23,Isuzu
24,Jaguar
25,Jeep
26,Karma
27,Kia
28,Lamborghini
29,Land Rover
30,Lexus
31,Lincoln
32,Lotus
33,Maserati
34,Maybach
35,Mazda
36,McLaren
37,Mercedes-Benz
38,Mercury
39,MINI
40,Mitsubishi
41,Nissan
42,Opel
43,Panoz
44,Peugeot
45,Polaris
46,Pontiac
47,Porsche
48,Ram
49,Rolls Royce
50,Saab
51,Saturn
52,Scion
53,smart
54,SRT
55,Subaru
56,Suzuki
57,Tesla
58,Toyota
59,Volkswagen
60,Volvo
61,Yamaha
62,Leasing Company
63,Recreational Vehicles
64,Used Car Dealer
